Minute,Forecast_SM
818,0.4342967
819,0.43429658
820,0.43429685
821,0.43429688
822,0.43429664
823,0.43429682
824,0.43429697
825,0.43429688
826,0.4342968
827,0.43429658
828,0.43429688
829,0.434297
830,0.43429697
831,0.434297
832,0.43429717
833,0.4342972
834,0.43429726
835,0.43429747
836,0.43429744
837,0.43429735
838,0.43429756
839,0.4342974
840,0.43429723
841,0.43429726
842,0.43429747
843,0.43429738
844,0.43429723
845,0.4342972
846,0.4342976
847,0.4342976
848,0.43429747
849,0.43429753
850,0.43429777
851,0.4342977
852,0.43429756
853,0.4342977
854,0.43429765
855,0.4342974
856,0.43429753
857,0.43429765
858,0.43429765
859,0.43429753
860,0.43429762
861,0.4342977
862,0.43429765
863,0.43429753
864,0.43429756
865,0.43429765
866,0.43429753
867,0.43429732
868,0.4342974
869,0.4342976
870,0.4342976
871,0.43429762
872,0.4342976
873,0.43429753
874,0.43429762
875,0.4342978
876,0.43429756
877,0.43429732
878,0.43429738
879,0.43429753
880,0.43429747
881,0.43429732
882,0.43429723
883,0.43429753
884,0.43429753
885,0.43429735
886,0.43429735
887,0.43429753
888,0.43429747
889,0.43429732
890,0.43429732
891,0.43429744
892,0.43429744
893,0.43429732
894,0.43429732
895,0.43429744
896,0.43429744
897,0.4342974
898,0.43429756
899,0.43429747
900,0.4342974
901,0.43429753
902,0.4342977
903,0.43429756
904,0.4342974
905,0.43429753
906,0.43429756
907,0.43429762
908,0.43429756
909,0.43429753
910,0.4342976
911,0.4342977
912,0.4342977
913,0.43429762
914,0.43429765
915,0.4342977
916,0.43429774
917,0.4342977
918,0.43429765
919,0.4342977
920,0.43429777
921,0.43429774
922,0.4342977
923,0.4342978
924,0.43429786
925,0.43429783
926,0.43429777
927,0.43429783
928,0.43429795
929,0.43429783
930,0.4342978
931,0.43429792
932,0.43429792
933,0.43429792
934,0.43429792
935,0.434298
936,0.43429795
937,0.434298
938,0.43429813
939,0.4342981
940,0.434298
941,0.4342981
942,0.4342982
943,0.43429816
944,0.43429804
945,0.4342981
946,0.43429816
947,0.43429816
948,0.43429813
949,0.43429816
950,0.43429822
951,0.4342982
952,0.43429822
953,0.43429828
954,0.4342982
955,0.4342982
956,0.43429828
957,0.43429822
958,0.43429816
959,0.4342982
960,0.43429828
961,0.4342983
962,0.4342983
963,0.4342983
964,0.43429834
965,0.43429837
966,0.43429834
967,0.4342983
968,0.43429834
969,0.4342983
970,0.4342983
971,0.43429834
972,0.43429834
973,0.4342983
974,0.43429837
975,0.43429837
976,0.4342984
977,0.43429837
978,0.4342984
979,0.4342984
980,0.43429837
981,0.43429837
982,0.4342984
983,0.43429837
984,0.43429837
985,0.43429837
986,0.4342984
987,0.4342984
988,0.43429837
989,0.4342984
990,0.4342984
991,0.43429837
992,0.43429837
993,0.4342984
994,0.4342984
995,0.43429837
996,0.43429837
997,0.43429837
998,0.4342984
999,0.4342984
1000,0.43429837
1001,0.4342984
1002,0.4342984
1003,0.43429837
1004,0.43429837
1005,0.4342984
1006,0.43429837
1007,0.43429837
1008,0.43429834
1009,0.43429837
1010,0.4342984
1011,0.43429837
1012,0.43429837
1013,0.43429837
1014,0.43429843
1015,0.4342984
1016,0.4342984
1017,0.4342984
1018,0.43429837
