Minute,Forecast_SM,Cluster_Used
912,0.43417646242737906,3
913,0.43417646242737906,3
914,0.43417646242737906,3
915,0.43417646242737906,3
916,0.4341764628679839,3
917,0.4341764628679839,3
918,0.4341764628679839,3
919,0.4341764628679839,3
920,0.4341764628679839,3
921,0.43417646242737906,3
922,0.43417646242737906,3
923,0.43417646242737906,3
924,0.43417646242737906,3
925,0.43417646242737906,3
926,0.43417646242737906,3
927,0.43417646242737906,3
928,0.4341764628679839,3
929,0.4341764633085887,3
930,0.4341764633085887,3
931,0.4341764633085887,3
932,0.4341764633085887,3
933,0.4341764628679839,3
934,0.43417646242737906,3
935,0.43417646242737906,3
936,0.43417646242737906,3
937,0.43417646242737906,3
938,0.43417646242737906,3
939,0.43417646242737906,3
940,0.43417646242737906,3
941,0.43417646242737906,3
942,0.4341764628679839,3
943,0.4341764628679839,3
944,0.4341764628679839,3
945,0.4341764628679839,3
946,0.4341764628679839,3
947,0.43417646242737906,3
948,0.43417646242737906,3
949,0.4341764619867743,3
950,0.4341764615461694,3
951,0.43417646110556457,3
952,0.4341764606649597,3
953,0.4341764602243549,3
954,0.4341764602243549,3
955,0.4341764606649597,3
956,0.43417646110556457,3
957,0.4341764615461694,3
958,0.4341764619867743,3
959,0.43417646242737906,3
960,0.43417646242737906,3
961,0.43417646242737906,3
962,0.43417646242737906,3
963,0.43417646242737906,3
964,0.43417646242737906,3
965,0.43417646242737906,3
966,0.43417646242737906,3
967,0.43417646242737906,3
968,0.43417646242737906,3
969,0.43417646242737906,3
970,0.4341764628679839,3
971,0.4341764628679839,3
972,0.4341764633085887,3
973,0.4341764633085887,3
974,0.4341764633085887,3
975,0.4341764628679839,3
976,0.4341764628679839,3
977,0.43417646242737906,3
978,0.43417646242737906,3
979,0.43417646242737906,3
980,0.43417646242737906,3
981,0.43417646242737906,3
982,0.43417646242737906,3
983,0.43417646242737906,3
984,0.43417646242737906,3
985,0.4341764619867743,3
986,0.4341764619867743,3
987,0.4341764619867743,3
988,0.4341764619867743,3
989,0.4341764619867743,3
990,0.43417646242737906,3
991,0.43417646242737906,3
992,0.43417646242737906,3
993,0.43417646242737906,3
994,0.43417646242737906,3
995,0.43417646242737906,3
996,0.4341764619867743,3
997,0.4341764619867743,3
998,0.4341764619867743,3
999,0.4341764619867743,3
1000,0.4341764619867743,3
1001,0.43417646242737906,3
1002,0.43417646242737906,3
1003,0.43417646242737906,3
1004,0.43417646242737906,3
1005,0.4341764628679839,3
1006,0.4341764628679839,3
1007,0.4341764628679839,3
1008,0.4341764628679839,3
1009,0.4341764628679839,3
1010,0.4341764628679839,3
1011,0.4341764628679839,3
1012,0.4341764628679839,3
1013,0.4341764628679839,3
1014,0.4341764628679839,3
1015,0.43417646242737906,3
1016,0.4341764628679839,3
1017,0.4341764633085887,3
1018,0.4341764633085887,3
1019,0.4341764633085887,3
1020,0.4341764633085887,3
1021,0.4341764628679839,3
1022,0.43417646242737906,3
1023,0.43417646242737906,3
1024,0.43417646242737906,3
1025,0.4341764619867743,3
1026,0.4341764615461694,3
1027,0.4341764615461694,3
1028,0.4341764615461694,3
1029,0.4341764615461694,3
1030,0.4341764619867743,3
1031,0.43417646242737906,3
1032,0.43417646242737906,3
1033,0.43417646242737906,3
1034,0.43417646242737906,3
1035,0.43417646242737906,3
1036,0.43417646242737906,3
1037,0.43417646242737906,3
1038,0.43417646242737906,3
1039,0.43417646242737906,3
1040,0.43417646242737906,3
1041,0.43417646242737906,3
1042,0.43417646242737906,3
1043,0.43417646242737906,3
1044,0.43417646242737906,3
1045,0.43417646242737906,3
1046,0.43417646242737906,3
1047,0.4341764619867743,3
1048,0.4341764619867743,3
1049,0.43417646242737906,3
1050,0.43417646242737906,3
1051,0.43417646242737906,3
1052,0.4341764628679839,3
1053,0.4341764628679839,3
1054,0.4341764628679839,3
1055,0.4341764628679839,3
1056,0.4341764628679839,3
1057,0.4341764628679839,3
1058,0.4341764628679839,3
1059,0.43417646242737906,3
1060,0.4341764619867743,3
1061,0.4341764615461694,3
1062,0.4341764615461694,3
1063,0.4341764615461694,3
1064,0.4341764615461694,3
